inchikey,substance_name,chemont_label,chemont_labels
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,1-tetradecanol,Long-chain fatty alcohols,Long-chain fatty alcohols|Fatty alcohols
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,Tetradecanol,Long-chain fatty alcohols,Long-chain fatty alcohols|Fatty alcohols
HMAJVAFLGGPIPN-UHFFFAOYSA-N,2-[N-ethyl-4-[(5-nitrothiazol-2-yl)azo]-m-toluidino]ethyl acetate,Nitrothiazoles,Nitrothiazoles|Thiazoles
HMAJVAFLGGPIPN-UHFFFAOYSA-N,2-[N-ethyl-4-[(5-nitrothiazol-2-yl)azo]-m-toluidino]ethyl acetate; C.I. Disperse Blue 124,Nitrothiazoles,Nitrothiazoles|Thiazoles
HMBHAQMOBKLWRX-UHFFFAOYSA-N,"1,4-Benzodioxane-2-carboxylic acid","Benzo-1,4-dioxanes","Benzo-1,4-dioxanes"
HMBNQNDUEFFFNZ-UHFFFAOYSA-N,4-(vinyloxy)butan-1-ol,Primary alcohols,Primary alcohols
HMEKVHWROSNWPD-UHFFFAOYSA-N,"Diammonio(ethyl)[4-[[4-[ethyl(3-sulphonatobenzyl)amino]phenyl](2-sulphonatophenyl)methylene]cyclohexa-2,5-dien-1-ylidene](3-sulphonatobenzyl)ammonium",Phenylbenzamines,Phenylbenzamines|Phenylmethylamines|Benzene and substituted derivatives|Benzenoids|Organic compounds
HMGDEQANNRNNKX-UHFFFAOYSA-N,"4,4,5,5,6,6,7,7,8,8,9,9,9-tridecafluorononan-1-ol",Primary alcohols,Primary alcohols
HMGYIWSXCDCHRF-UHFFFAOYSA-M,"perfluorononan-1-oic acid, sodium salts",Perfluorooctanoic acid and derivatives,Perfluorooctanoic acid and derivatives|Perfluoroalkyl carboxylic acid and derivatives
HMIBKHHNXANVHR-UHFFFAOYSA-N,Fenothiocarb,Phenol ethers,Phenol ethers|Benzenoids|Organic compounds
HMJBXEZHJUYJQY-UHFFFAOYSA-N,"4-(aminomethyl)octane-1,8-diamine",Monoalkylamines,Monoalkylamines
HMJZRBDFJAQGEY-UHFFFAOYSA-N,Calcium phosphide,Miscellaneous mixed metal/non-metals,Miscellaneous mixed metal/non-metals
HMJZRBDFJAQGEY-UHFFFAOYSA-N,Tricalcium diphosphide,Miscellaneous mixed metal/non-metals,Miscellaneous mixed metal/non-metals
HMJZRBDFJAQGEY-UHFFFAOYSA-N,calcium phosphide; tricalcium diphosphide,Miscellaneous mixed metal/non-metals,Miscellaneous mixed metal/non-metals
HMKKIXGYKWDQSV-SDNWHVSQSA-N,"Heptanal, 2-(phenylmethylene)-, (2E)-",Cinnamaldehydes,Cinnamaldehydes
HMKKIXGYKWDQSV-UHFFFAOYSA-N,2-benzylideneheptanal,Cinnamaldehydes,Cinnamaldehydes
HMKOSXMYMMZQQM-UHFFFAOYSA-N,"Reaction mass of REL-(1S,2R,6S)-2,6-dimethylcyclohexyl ethyl ether and MESO-(2R,6R)-2,6-dimethylcyclohexyl ethyl ether",Dialkyl ethers,Dialkyl ethers
HMLIQCQTRZELBY-UHFFFAOYSA-N,"Phosphoric acid, octadecyl ester",Organic phosphoric acids and derivatives,Organic phosphoric acids and derivatives
HMMBJOWWRLZEMI-UHFFFAOYSA-N,"3,4,5,6-tetrahydrophthalic anhydride",Isobenzofurans,Isobenzofurans
HMMGMWAXVFQUOA-UHFFFAOYSA-N,Octamethylcyclotetrasiloxane,Organoheterosilanes,Organoheterosilanes
HMMGMWAXVFQUOA-UHFFFAOYSA-N,octamethylcyclotetrasiloxane,Organoheterosilanes,Organoheterosilanes
HMMGMWAXVFQUOA-UHFFFAOYSA-N,octamethylcyclotetrasiloxane; [D4],Organoheterosilanes,Organoheterosilanes
HMOZDINWBHMBSQ-UHFFFAOYSA-N,"2,2'-(1,3-phenylene)bis(4,5-dihydro-1,3-oxazole)",Benzene and substituted derivatives,Benzene and substituted derivatives|Benzenoids|Organic compounds
HMPDWSBKPCOQDW-UHFFFAOYSA-N,(2-chloropyridin-3-yl)methanol,2-halopyridines,2-halopyridines
HMPXSWYLSSRSQF-UHFFFAOYSA-J,"Tetrasodium [29H,31H-phthalocyaninetetrasulphonato(6-)-N29,N30,N31,N32]cuprate(4-)",Phthalocyanines,Phthalocyanines
HMRIXHRQNXHLSL-UHFFFAOYSA-N,"1,2,3,4-tetrahydronaphthalene-1-carbonitrile",Tetralins,Tetralins|Benzenoids|Organic compounds
HMTPTJJAOZAOSQ-UHFFFAOYSA-N,diethyleneglycyl bis (chloroacetate),Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
HMUNZEYTSRPVBE-UHFFFAOYSA-N,Copper(2+) tetrafluoroborate(1-),Metalloid fluorides,Metalloid fluorides|Metalloid salts
HMYBDZFSXBJDGL-UHFFFAOYSA-N,"1,3-divinylimidazolidin-2-one",Imidazolidinones,Imidazolidinones|Imidazolidines
HMYBDZFSXBJDGL-UHFFFAOYSA-N,"N,N′-divinyl-2-imidazolidinone",Imidazolidinones,Imidazolidinones|Imidazolidines
HMZGPNHSPWNGEP-UHFFFAOYSA-N,Octadecyl methacrylate,Fatty alcohol esters,Fatty alcohol esters
HMZPXZFXOANPHS-UHFFFAOYSA-N,O-isobutyl ethylthiocarbamate,Thiocarbamic acid esters,Thiocarbamic acid esters|Thiocarbamic acid derivatives
HNBDRPTVWVGKBR-UHFFFAOYSA-N,Methyl valerate,Fatty acid methyl esters,Fatty acid methyl esters|Fatty acid esters
HNDVDQJCIGZPNO-YFKPBYRVSA-N,Histidine,Histidine and derivatives,Histidine and derivatives|Alpha amino acids and derivatives
HNFOAHXBHLWKNF-UHFFFAOYSA-M,Sodium 2-bromoethanesulphonate,Organosulfonic acids,Organosulfonic acids|Organosulfonic acids and derivatives|Organic sulfonic acids and derivatives
HNHFTARXTMQRCF-UHFFFAOYSA-N,"1,3,5-tris(3-mercaptopropyl)-1,3,5-triazinane-2,4,6-trione",Triazinones,Triazinones
HNHVTXYLRVGMHD-UHFFFAOYSA-N,Butyl isocyanate,Isocyanates,Isocyanates|Organonitrogen compounds
HNIMEQCLCNSCGH-UHFFFAOYSA-N,3-amino-5-(4-phenoxyphenyl)-1H-pyrazole-4-carbonitrile,Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
HNJBEVLQSNELDL-UHFFFAOYSA-N,2-pyrrolidone,Pyrrolidine-2-ones,Pyrrolidine-2-ones
HNJWKRMESUMDQE-UHFFFAOYSA-N,"3,4-dimethoxy-N-methylphenethylamine",Dimethoxybenzenes,Dimethoxybenzenes
HNKJADCVZUBCPG-UHFFFAOYSA-N,Methyl phenyl sulphide,Aryl thioethers,Aryl thioethers
HNMCSUXJLGGQFO-UHFFFAOYSA-N,C.I. Pigment Violet 15 (or: ultramarine violet; C.I. No. 77007),Post-transition metal silicates,Post-transition metal silicates
HNNFDXWDCFCVDM-UHFFFAOYSA-N,Methyl 4-methyl-3-oxopentanoate,Beta-keto acids and derivatives,Beta-keto acids and derivatives
HNNJFUDLLWOVKZ-VKHMYHEASA-N,(S)-2-Amino-butylacetamide,Alpha amino acid amides,Alpha amino acid amides|Alpha amino acids and derivatives
HNPZBDFFHBHBFR-UHFFFAOYSA-L,Disodium 5-[[4-[(2-bromo-1-oxoallyl)amino]-2-sulphonatophenyl]azo]-4-hydroxy-6-(methylamino)naphthalene-2-sulphonate,2-naphthalene sulfonates,2-naphthalene sulfonates
HNQGTZYKXIXXST-UHFFFAOYSA-N,Calcium tin trioxide,Alkaline earth metal stannates,Alkaline earth metal stannates
HNQLMBJUMVLFCF-UHFFFAOYSA-N,4-chloro-o-xylene,o-Xylenes,o-Xylenes
HNQRHNYBVWICKB-UHFFFAOYSA-N,3-nitro-4-(oxan-4-ylmethylamino)benzenesulfonamide,Aminobenzenesulfonamides,Aminobenzenesulfonamides|Benzenesulfonamides|Benzene and substituted derivatives|Benzenoids|Organic compounds
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,"2,2-dimethylbutane",Branched alkanes,Branched alkanes|Alkanes|Saturated hydrocarbons
HNSGVPAAXJJOPQ-XOKHGSTOSA-N,"(1R,2S,5R)-2-isopropyl-N-(4-methoxyphenyl)-5-methylcyclohexanecarboxamide",Aromatic monoterpenoids,Aromatic monoterpenoids|Monoterpenoids
HNSSYRJCJYCAPR-UHFFFAOYSA-K,trisodium 4-hydroxy-6-(sulfonatomethylamino)-5-(2-(2-sulfatoethylsulfonyl)phenylazo)naphthalene-2-sulfonate,2-naphthalene sulfonates,2-naphthalene sulfonates
HNTGIJLWHDPAFN-UHFFFAOYSA-N,1-bromohexadecane,Organobromides,Organobromides
HNTMKSKJRZRWKS-MWLOVLLCSA-N,Androsterone tosylate,Androstane steroids,Androstane steroids|Steroids and steroid derivatives
HNURKXXMYARGAY-UHFFFAOYSA-N,"3,5-di-tert-butyl-4-hydroxybenzyl alcohol",Phenylpropanes,Phenylpropanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
HNVBZKNIPZVUDV-UHFFFAOYSA-N,1-(trimethylsilyloxy)-hexane,Trialkylheterosilanes,Trialkylheterosilanes|Organoheterosilanes
HNVIQLPOGUDBSU-OLQVQODUSA-N,"cis-2,6-dimethylmorpholine",Morpholines,Morpholines
HNVIQLPOGUDBSU-UHFFFAOYSA-N,"2,6-dimethylmorpholine",Morpholines,Morpholines
HNVIQLPOGUDBSU-WDSKDSINSA-N,"Reaction mass of (2S,6S)-2,6-Dimethylmorpholine and (2R,6R)-2,6-Dimethylmorpholine",Morpholines,Morpholines
HNVRRHSXBLFLIG-UHFFFAOYSA-N,2-Methyl-3-buten-2-ol,Tertiary alcohols,Tertiary alcohols
HNVRRHSXBLFLIG-UHFFFAOYSA-N,2-methylbut-3-en-2-ol,Tertiary alcohols,Tertiary alcohols
HNXNKTMIVROLTK-UHFFFAOYSA-N,"N,N-dimethyldecan-1-amide",N-acyl amines,N-acyl amines|Fatty amides
HNYOPLTXPVRDBG-UHFFFAOYSA-N,Barbituric acid,Pyrimidones,Pyrimidones|Pyrimidines and pyrimidine derivatives
HNYSXOZEEKWPNM-UHFFFAOYSA-N,1-(1-(3-methoxy-4-nitrophenyl)piperidin-4-yl)-4-methylpiperazine,Phenylpiperidines,Phenylpiperidines|Piperidines
HNZUNIKWNYHEJJ-FMIVXFBMSA-N,"(E)-6,10-dimethylundeca-5,9-dien-2-one",Acyclic monoterpenoids,Acyclic monoterpenoids|Monoterpenoids
HNZUNIKWNYHEJJ-FMIVXFBMSA-N,"6,10-dimethylundeca-5,9-dien-2-one",Acyclic monoterpenoids,Acyclic monoterpenoids|Monoterpenoids
HNZUNIKWNYHEJJ-XFXZXTDPSA-N,"(5Z)-6,10-dimethylundeca-5,9-dien-2-one",Acyclic monoterpenoids,Acyclic monoterpenoids|Monoterpenoids
HOBCGPSQZNVUSJ-UHFFFAOYSA-N,"1,7-dichloro-4-methoxy-isoquinoline",Isoquinolines and derivatives,Isoquinolines and derivatives
HOCDRPVUJNMBCM-GJZGRUSLSA-N,"allyl (2S,4S)-4-benzoylsulfanyl-2-(dimethylcarbamoyl)pyrrolidine-1-carboxylate",Proline and derivatives,Proline and derivatives|Alpha amino acids and derivatives
HOEFWOBLOGZQIQ-UHFFFAOYSA-N,4-[(morpholinothio)thioxomethyl]morpholine,Morpholines,Morpholines
HOERQTQCTISLFR-UHFFFAOYSA-N,Benzoximate,Dimethoxybenzenes,Dimethoxybenzenes
HOJYZCWLNWENHS-UHFFFAOYSA-O,Ammonium perrhenate,Inorganic oxides,Inorganic oxides
HOKKPVIRMVDYPB-UHFFFAOYSA-N,Thiacloprid,2-halopyridines,2-halopyridines
HOKKPVIRMVDYPB-UHFFFAOYSA-N,"thiacloprid (ISO); (Z)-3-(6-chloro-3-pyridylmethyl)-1,3-thiazolidin-2-ylidenecyanamide; {(2Z)-3-[(6-chloropyridin-3-yl)methyl]-1,3-thiazolidin-2-ylidene}cyanamide",2-halopyridines,2-halopyridines
HOMDJHGZAAKUQV-UHFFFAOYSA-N,Dipropoxymethane,Acetals,Acetals
HOMXPGRNXLQWJA-UHFFFAOYSA-K,Hydrogen bis[1-[(5-chloro-2-hydroxyphenyl)azo]-2-naphtholato(2-)]chromate(1-),Naphthalenes,Naphthalenes|Benzenoids|Organic compounds
HONQAQNYJBKAMA-UHFFFAOYSA-L,Magnesium diethyl dicarbonate,Carbonic acid monoesters,Carbonic acid monoesters|Organic carbonic acids and derivatives
HOPSCVCBEOCPJZ-UHFFFAOYSA-N,Betaine hydrochloride,Alpha amino acids,Alpha amino acids|Alpha amino acids and derivatives
HOQADATXFBOEGG-UHFFFAOYSA-N,Isofenphos,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOQADATXFBOEGG-UHFFFAOYSA-N,isofenphos (ISO); O-ethyl O-2-isopropoxycarbonylphenyl-isopropylphosphoramidothioate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOQGHOMLEVKTBY-UHFFFAOYSA-N,"Bis(2-ethylhexyl) cyclohexane-1,4-dicarboxylate",Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
HOQUWXSARQBQCW-UHFFFAOYSA-N,Hexadecyl chloroformate,Organic carbonic acids and derivatives,Organic carbonic acids and derivatives
HORIEOQXBKUKGQ-UHFFFAOYSA-N,"1,2-Cyclohexanedicarboxylic acid, diisononyl ester, reaction products of hydrogenation of di-isononylphthalates (n-butenes based)",Fatty alcohol esters,Fatty alcohol esters
HORIEOQXBKUKGQ-UHFFFAOYSA-N,"1,2-cyclohexanedicarboxylic acid, diisononyl ester",Fatty alcohol esters,Fatty alcohol esters
HORNXRXVQWOLPJ-UHFFFAOYSA-N,3-chlorophenol,M-chlorophenols,M-chlorophenols
HOSFCSQXJQXSIQ-UHFFFAOYSA-L,"Disodium 4,4'-bis[(4,6-dianilino-1,3,5-triazin-2-yl)amino]stilbene-2,2'-disulphonate",Sulfonated stilbenes,Sulfonated stilbenes|Stilbenes
HOSGXJWQVBHGLT-UHFFFAOYSA-N,"6-Hydroxy-2(1H)-3,4-dihydroquinolinone",Hydroxyquinolones,Hydroxyquinolones|Quinolones and derivatives|Quinolines and derivatives
HOVAGTYPODGVJG-VEIUFWFVSA-N,Methyl α-D-mannopyranoside,O-glycosyl compounds,O-glycosyl compounds
HOVAGTYPODGVJG-WLDMJGECSA-N,Methyl D-glucopyranoside,O-glycosyl compounds,O-glycosyl compounds
HOVAGTYPODGVJG-ZFYZTMLRSA-N,Methyl α-D-glucoside,O-glycosyl compounds,O-glycosyl compounds
HOWBPXBYCPKWBL-XQRVVYSFSA-N,(Z)‐ethyl 2‐methylpent‐3‐enoate,Fatty acid esters,Fatty acid esters
HOWGUJZVBDQJKV-UHFFFAOYSA-N,Docosane,Alkanes,Alkanes|Saturated hydrocarbons
HOXINJBQVZWYGZ-UHFFFAOYSA-N,Fenbutatin oxide,Phenylpropanes,Phenylpropanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOXINJBQVZWYGZ-UHFFFAOYSA-N,fenbutatin oxide (ISO); bis(tris(2-methyl-2-phenylpropyl)tin)oxide,Phenylpropanes,Phenylpropanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOXWFOVSCUWIEH-UHFFFAOYSA-M,"alkyl benzene sulfonate, sodium (mono C10-C14-alkyl derivatives sodium)",Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOZLJOUMYIBQLE-UHFFFAOYSA-N,Methyl 3-[[(dibutylamino)thioxomethyl]thio]propanoate,Dithiocarbamic acid esters,Dithiocarbamic acid esters
HOZLJOUMYIBQLE-UHFFFAOYSA-N,methyl 3-[[(dibutylamino)thioxomethyl]thio]propanoate,Dithiocarbamic acid esters,Dithiocarbamic acid esters
HOZRMSVNIKYCMB-UHFFFAOYSA-N,"N-(2,5-dimethoxyphenyl)acetamide",Acetanilides,Acetanilides|Anilides|Benzene and substituted derivatives|Benzenoids|Organic compounds
HOZZVEPRYYCBTO-UHFFFAOYSA-N,"N-a-Fmoc-a-aminoisobutyric acid, N-Fmoc-C-a-methylalanine",Fluorenes,Fluorenes|Benzenoids|Organic compounds
HPAFOABSQZMTHE-UHFFFAOYSA-N,"2,4,6-trimethylbenzophenone",Benzophenones,Benzophenones|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPDZYDTXCOFUOY-UHFFFAOYSA-N,Methyl 2-oxopyrrolidin-1-acetate,Alpha amino acid esters,Alpha amino acid esters|Alpha amino acids and derivatives
HPEUJPJOZXNMSJ-UHFFFAOYSA-N,Methyl stearate,Fatty acid methyl esters,Fatty acid methyl esters|Fatty acid esters
HPFCOSLTCJLJOW-UHFFFAOYSA-N,"2-Methyl-pyrazolo[5,1-b]quinazolin-9-one",Quinazolines,Quinazolines
HPFGDWSUQHUCBU-UHFFFAOYSA-N,2-(isocyanatosulfonylmethyl)benzoic acid methyl ester,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPFGDWSUQHUCBU-UHFFFAOYSA-N,2-(isocyanatosulfonylmethyl)benzoic acid methyl ester; (alt.):methyl 2-(isocyanatosulfonylmethyl)benzoate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPFHYRNETZEPIV-UHFFFAOYSA-N,Bis(piperidinothiocarbonyl) hexasulphide,Piperidines,Piperidines
HPFHYRNETZEPIV-UHFFFAOYSA-N,di-N-pentamethylenethiuram hexasulfide,Piperidines,Piperidines
HPFWYRKGZUGGPB-UHFFFAOYSA-N,"4,6-dichloro-N-(1,1,3,3-tetramethylbutyl)-1,3,5-triazin-2-amine",Aminotriazines,Aminotriazines
HPGGPRDJHPYFRM-UHFFFAOYSA-J,Tin tetrachloride,Post-transition metal chlorides,Post-transition metal chlorides|Post-transition metal salts
HPGGPRDJHPYFRM-UHFFFAOYSA-J,tin tetrachloride; stannic chloride,Post-transition metal chlorides,Post-transition metal chlorides|Post-transition metal salts
HPGGPRDJHPYFRM-UHFFFAOYSA-J,tin(IV)chloride,Post-transition metal chlorides,Post-transition metal chlorides|Post-transition metal salts
HPGPEWYJWRWDTP-UHFFFAOYSA-N,Dilithium peroxide,Alkali metal oxides,Alkali metal oxides
HPHPTGDPZSEYMB-UHFFFAOYSA-N,2-(benzylmethylamino)ethyl acetoacetate,Phenylmethylamines,Phenylmethylamines|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPHSQXYITTYVEY-UHFFFAOYSA-M,Sodium 2-hydroxy-3-[(2-hydroxyethyl)[2-[(1-oxo-9-octadecenyl)amino]ethyl]amino]propanesulphonate,N-acyl amines,N-acyl amines|Fatty amides
HPNMFZURTQLUMO-UHFFFAOYSA-N,Diethylamine,Dialkylamines,Dialkylamines
HPNMFZURTQLUMO-UHFFFAOYSA-N,diethylamine,Dialkylamines,Dialkylamines
HPNSFSBZBAHARI-RUDMXATFSA-N,Mycophenolic acid,Phthalides,Phthalides|Isobenzofuranones|Isocoumarans
HPNSNYBUADCFDR-UHFFFAOYSA-N,Chromafenozide,1-benzopyrans,1-benzopyrans|Benzopyrans
HPOWMHUJHHIQGP-UHFFFAOYSA-L,Nickel bis(dibutyldithiocarbamate),Organic transition metal salts,Organic transition metal salts|Organic metal salts|Organic salts|Organic compounds
HPQVZCCKGRTPLU-UHFFFAOYSA-M,Sodium 4-hydroxyphenylglycolate,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids
HPRGYUWRGCTBAV-UHFFFAOYSA-N,1-chloro-3-(4-chlorophenoxy) benzene,Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPSNPQBFMPYUOD-UHFFFAOYSA-N,"2,4,5-trimethylaniline hydrochloride",Aniline and substituted anilines,Aniline and substituted anilines|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPTFPWMPQFBSHP-IBGZPJMESA-N,N-(fluorenylmethoxycarbonyl)-glycyl-L-proline,Dipeptides,Dipeptides|Peptides
HPTJCEPNQHYWIH-PDGQHHTCSA-N,"N'-(1,3-dimethylbutylidene)-3-hydroxy-2-naphthohydrazide",Naphthalenecarboxamides,Naphthalenecarboxamides|Naphthalenecarboxylic acids and derivatives|Naphthalenes|Benzenoids|Organic compounds
HPUPGAFDTWIMBR-UHFFFAOYSA-N,Diphenyl methylphosphonate,Phenoxy compounds,Phenoxy compounds|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPXRVTGHNJAIIH-UHFFFAOYSA-N,Cyclohexanol,Cyclohexanols,Cyclohexanols|Secondary alcohols
HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,Cyclohexanols,Cyclohexanols|Secondary alcohols
HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexylalcohol,Cyclohexanols,Cyclohexanols|Secondary alcohols
HPXWWLGOFMSKHV-UHFFFAOYSA-N,"1-[4-(chloromethyl)-1,3-thiazol-2-yl)guanidine hydrochloride","2,4-disubstituted thiazoles","2,4-disubstituted thiazoles|Thiazoles"
HPYGZUDDGWEYDQ-UHFFFAOYSA-N,2-(7-methoxynaphthalen-1-yl)ethan-1-amine hydrochloride,Naphthalenes,Naphthalenes|Benzenoids|Organic compounds
HPYIMVBXZPJVBV-UHFFFAOYSA-N,Barium dodecairon nonadecaoxide,Alkaline earth metal oxides,Alkaline earth metal oxides
HPYNBECUCCGGPA-UHFFFAOYSA-N,(4-ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPYNBECUCCGGPA-UHFFFAOYSA-N,Silafluofen,Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
HPYOHJMBDBVTMT-UHFFFAOYSA-N,"2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(4-methoxyphenyl)-3-oxobutyramide]","3,3'-disubstituted benzidines","3,3'-disubstituted benzidines|Benzidines|Biphenyls and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds"
HPZIIFVSYNLWNX-UHFFFAOYSA-N,"Praseodymium(III,IV) oxide",Miscellaneous mixed metal/non-metals,Miscellaneous mixed metal/non-metals
HQABUPZFAYXKJW-UHFFFAOYSA-N,Butylamine,Monoalkylamines,Monoalkylamines
HQABUPZFAYXKJW-UHFFFAOYSA-N,butylamine,Monoalkylamines,Monoalkylamines
HQAIUXZORKJOJY-UHFFFAOYSA-N,"3-iodo-1H-pyrazolo[3,4-d]pyrimidin-4-amine","Pyrazolo[3,4-d]pyrimidines","Pyrazolo[3,4-d]pyrimidines"
HQBBDVUXOOMFQN-UHFFFAOYSA-L,Zinc pivalate,Carboxylic acid salts,Carboxylic acid salts
HQBKGOCRCWUTTD-UHFFFAOYSA-J,"Sodium [5-chloro-3-[[4,5-dihydro-3-methyl-5-oxo-1-(3-sulphophenyl)-1H-pyrazol-4-yl]azo]-2-hydroxybenzenesulphonato(4-)]chromate(1-)",Phenylpyrazoles,Phenylpyrazoles|Pyrazoles
HQCFDOOSGDZRII-UHFFFAOYSA-M,Sodium tridecyl sulphate,Sulfuric acid monoesters,Sulfuric acid monoesters
HQFGJBVERCJECK-UHFFFAOYSA-N,3-butoxycyclohex-2-en-1-one,Cyclohexenones,Cyclohexenones|Cyclic ketones|Ketones|Carbonyl compounds|Organooxygen compounds
HQGPKMSGXAUKHT-BYPYZUCNSA-N,Methyl 5-oxo-L-prolinate,Alpha amino acid esters,Alpha amino acid esters|Alpha amino acids and derivatives
HQHCYKULIHKCEB-UHFFFAOYSA-N,Tetradecanedioic acid,Long-chain fatty acids,Long-chain fatty acids|Fatty acids and conjugates
HQKQRXZEXPXXIG-DTWJZALFSA-N,"[3R-(3α,3aβ,6α,7β,8aα)]-octahydro-3,6,8,8-tetramethyl-1H-3a,7-methanoazulen-5-yl acetate",Cedrane and isocedrane sesquiterpenoids,Cedrane and isocedrane sesquiterpenoids|Sesquiterpenoids
HQMRIBYCTLBDAK-UHFFFAOYSA-M,Chlorodiisobutylaluminium,Alkylaluminium halides,Alkylaluminium halides|Alkylaluminium and derivatives
HQMZBKRNRWIDME-SQQVDAMQSA-M,N-methyl-4-(p-formylstyryl)pyridinium methylsulfate,Benzoyl derivatives,Benzoyl derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HQOVXPHOJANJBR-UHFFFAOYSA-N,Di-tert-butyl sec-butylidene diperoxide,Dialkyl peroxides,Dialkyl peroxides
HQQUTGFAWJNQIP-UHFFFAOYSA-K,Bis(acetato-O)hydroxyaluminium,Acetate salts,Acetate salts|Carboxylic acid salts
HQQVZXCLEXNRQB-UHFFFAOYSA-N,"phosphoramidic dichloride, methyl-",Organic phosphoramides,Organic phosphoramides|Organic phosphoric acids and derivatives
HQSCPPCMBMFJJN-UHFFFAOYSA-N,4-bromobenzonitrile,Benzonitriles,Benzonitriles|Benzene and substituted derivatives|Benzenoids|Organic compounds
HQSOHEURLMFXBX-UHFFFAOYSA-N,"3-(3,5-di-tert-butyl-4-hydroxyphenyl)-N-octadecylpropanamide",Phenylpropanes,Phenylpropanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
HQUIOHSYUKWGOM-UHFFFAOYSA-N,2-[1-(ethylsulfonyl)azetidin-3-ylidene]acetonitrile,Organosulfonamides,Organosulfonamides|Organosulfonic acids and derivatives|Organic sulfonic acids and derivatives
HQUQLFOMPYWACS-UHFFFAOYSA-N,Tris(2-chloroethyl) phosphate,Trialkyl phosphates,Trialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
HQUQLFOMPYWACS-UHFFFAOYSA-N,"phosphoric acid, trichloroethyl ester",Trialkyl phosphates,Trialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
HQUQLFOMPYWACS-UHFFFAOYSA-N,tris(2-chloroethyl)phosphate,Trialkyl phosphates,Trialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
HQUVXRFXGBZDNB-UHFFFAOYSA-N,"7-methyl-2H-1,3-benzoxazine-2,4(3H)-dione",Benzoxazines,Benzoxazines
HQVNEWCFYHHQES-UHFFFAOYSA-N,Trisilicon tetranitride,Metalloid nitrides,Metalloid nitrides
HQWKKEIVHQXCPI-UHFFFAOYSA-L,Disodium phthalate,Benzoic acids,Benzoic acids|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
HQWLBRJUMWPIOA-WCSIJFPASA-N,2-octyldodecyl 5-oxo-L-prolinate,Alpha amino acid esters,Alpha amino acid esters|Alpha amino acids and derivatives
HQWOEDCLDNFWEV-UHFFFAOYSA-M,"1H-Imidazolium, 1-ethyl-3-methyl-, diethyl phosphate (1:1)",Dialkyl phosphates,Dialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
HQWPLXHWEZZGKY-UHFFFAOYSA-N,Diethylzinc,Hydrocarbon derivatives,Hydrocarbon derivatives|Organic compounds
HQWPLXHWEZZGKY-UHFFFAOYSA-N,diethylzinc,Hydrocarbon derivatives,Hydrocarbon derivatives|Organic compounds
HQYALQRYBUJWDH-UHFFFAOYSA-N,Trimethoxypropylsilane,Trialkoxysilanes,Trialkoxysilanes|Alkoxysilanes
HQYCOEXWFMFWLR-UHFFFAOYSA-K,Vanadium trichloride,Transition metal chlorides,Transition metal chlorides
