substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
"quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with bentonite",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
"Reaction products of diazotised 3-amino-2-hydroxy-5-nitrobenzenesulphonic acid, coupled with 1,3-diaminobenzene and diazotised sodium 4-aminobenzenesulfonate, metallised with Basic Chromium (III) Sulphate",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Lead, bis[bis(2-methylpropyl)carbamodithioato-S,S']-, (T-4)-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Soybean extract,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Lime (Citrus aurantifolia), ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Humic acids and fulvic acids extracted from leonardite, reaction product with formaldehyde, potassium hydrogen sulfite, sodium hydrogen sulfite and potassium hydroxide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"isopropyl(5S)-3-(3,5-difluorophenyl)-5-[(1S)-1-hydroxyethyl]-4,5-dihydro-1,2-oxazole-5-carboxylate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"rac-(1R,4S,4aR,8R,8aS)-9-(dichloromethylidene)-8-hydroxyoctahydro-1,4-methanonaphthalen-5(1H)-one",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Octadecanoic acid, C16-20-branched alkyl esters",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,high,NA,NA,FALSE
"Slimes and Sludges, copper conc. roasting off gas scrubbing, lead-mercury-selenium-contg.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Hydrocarbons, C4, n-butene conc.",CAS without structure,TRUE,TRUE,Unsaturated hydrocarbons,class,subset,medium,NA,NA,FALSE
5-(4-Hydroxymethyl-phenoxymethyl)-3-isopropyloxazolidin-2-one,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3-[bis(trifluoroalkyl)phenyl]-1H-1,2,4-heteromonocycle",Unclassified,TRUE,TRUE,Organofluorides,class,subset,low,NA,NA,FALSE
"(E,Z)-8-Dodecen-1-yl acetate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2,3-Epoxypropyl neodecanoate, oligomeric reaction products with phosphorous acid",CAS without structure,TRUE,TRUE,Organic phosphoric acids and derivatives,superclass,subset,low,NA,NA,FALSE
FMOC AMINO ACID 3,Unclassified,TRUE,TRUE,Alpha amino acids and derivatives,direct_parent,subset,medium,NA,NA,FALSE
"alcohols, tallow, propoxylated",CAS without structure,TRUE,TRUE,Fatty alcohols,subclass,subset,medium,NA,NA,FALSE
"Butanedioic acid, sulfo-, C-C16-18-alkyl esters, disodium salt",CAS without structure,TRUE,TRUE,Organic sulfonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
CuSi4Zn4MnP,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"9-Octadecenoic acid (Z)-, reaction products with diethylenetriamine, di-Me sulfate-quaternized",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
Alkenes C20+,Unclassified,TRUE,TRUE,Alkenes,direct_parent,subset,high,NA,NA,FALSE
"dimethyl-1-{][}2-methoxy-5-(2-methyl-butoxycarbonyl)phenylcarbamoyl]-[2-octadecyl-1,1-dioxo-1,2,4-benzothiadiazin-3-yl{]methyl[} imidazole-4,5-dicarboxylate",Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"(Z)-N-(3-ammoniopropyl)-N'-[3-octadecenylamino)propyl]propane-1,3-diaminium acetate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Bottom residues resulting from the synthesis of dimethyldioxane and the synthesis of isoprene from dimethyldioxane and trimethylcarbinol,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
3-(2-Hydroxy-ethyl)-5-methylsulfamoylmethyl-1H-indole-2-carboxylic acid methyl ester,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"fatty acids, tall oil",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
"Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts",CAS without structure,TRUE,TRUE,Organic dithiophosphoric acids and derivatives,class,subset,medium,NA,NA,FALSE
methyl (2R)-2-[(3-chloropropyl)amino]propanoate hydrochloride,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Corsair Clear #12,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Phosphorodithioic acid, mixed O,O-bis(Bu and pentyl) esters, lead(2+) salt",CAS without structure,TRUE,TRUE,Organic dithiophosphoric acids and derivatives,class,subset,medium,NA,NA,FALSE
"Dodecanoic acid, ester with 1,2,3-propanetriol, acetylated",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"quaternary ammonium compounds, (carboxymethyl)(3-cocoamidopropyl)dimethyl-hydroxides, inner salts",CAS without structure,TRUE,TRUE,Quaternary ammonium salts,subclass,subset,medium,NA,NA,FALSE
2-Methyl-3-methoxy benzoyl chloride,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N-C16-18-(even numbered, C18-unsaturated)-alkyl-1-C16-18-(even numbered, C18-unsaturated)-amine",CAS without structure,TRUE,TRUE,Secondary amines,subclass,subset,medium,NA,NA,FALSE
"Arsenenous acid, cesium salt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"tetrasodium 5-benzamido-3-(5-(4-fluoro-6-(1-sulphonato-2-naphthylamino)-1,3,5-triazin-2-ylamino)-2-sulphonatophenylazo)-4-hydroxynaphthalene-2,7- disulphonate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Casein,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
JARYSOL XX,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
MDI/CHA/SA,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"(Z,Z)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
N-[2-(imidazol-2-yl)ethyl]-(S)-pyrrolidine-2-carboxamide dihydrochloride,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Nickel Sulfide (Ni4S),CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Potassium Lauroyl Wheat Amino Acids,Unclassified,TRUE,TRUE,"Amino acids, peptides, and analogues",subclass,subset,medium,NA,NA,FALSE
"Reaction products of diazotised 2-amino-5-(2-(sulfooxy)ethylsulfonyl)benzenesulfonic acid coupled with 7-amino-4-hydroxynaphthalene-2-sulfonic acid, subsequently coupled with diazotized 2-(4-aminophenylsulfonyl)ethyl hydrogen sulfate acid, sodium salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"disodium 2-(5-carbamoyl-1-ethyl-2-hydroxy-4-methyl-6-oxo-1,6-dihydro-pyridine-3-ylazo)-4-(4-fluoro-6-(4-(2-sulfonyloxy-ethylsulfonyl)-phenylamino)-1,3,5-triazine-2-ylamino)benzene sulfonate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Propionaldehyde, reaction products with formaldehyde",Unclassified,TRUE,TRUE,Aldehydes,direct_parent,broader,low,NA,NA,FALSE
"Fatty acids, C16-18 and C18-unsatd., esters with 2,2'-(methylimino)bis[ethanol]",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,medium,NA,NA,FALSE
"2-Propyn-1-ol, reaction product with 1-2.5 moles of oxirane",Unclassified,TRUE,TRUE,Alcohols and polyols,subclass,subset,medium,NA,NA,FALSE
"Methylenediphenyl diisocyanate, oligomers, reaction products with 2-ethylhexan-l-ol",Unclassified,TRUE,TRUE,Isocyanates,subclass,subset,low,NA,NA,FALSE
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, aminosulfonyl sulfo derivs., sodium salts",CAS without structure,TRUE,TRUE,Phthalocyanines,subclass,subset,high,NA,NA,FALSE
"Reaction products of diazotised 2-amin-6-nitrophenol-4-sulphonic Acid and 2-Amino-4-nitrophenol-6-sulfonic Acid, coupled with a mixture of 6-Amino-4-hydroxy-2-naphthalenesulfonic Acid and Acetylated 6-Amino-4-hydroxy-2-naphthalenesulfonic Acid, subsequently metallized with Chromium (III) Basic Sulfate and Acetic Acid, and at the end diazotised and coupled with p-Cresol, sodium salts",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Rezolyn,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
1-(3-Phenyl-cyclohexyl)-propan-1-one,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Aluminosilicate Refractory Ceramic Fibres,Substance group,TRUE,TRUE,Inorganic salts,superclass,broader,low,NA,NA,FALSE
"Carbamodithioic acid, bis(mixed 2-ethylhexyl and 2-methylbutyl and pentyl) derivs., antimony (3+) salts",CAS without structure,TRUE,TRUE,Dithiocarbamic acids and derivatives,class,subset,high,NA,NA,FALSE
"Leach residues, zinc ore-calcine, zinc cobalt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
castor oil,CAS without structure,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"1,1'-[propane-1,3-diylbis(oxy)]bis(2-bromo-4-tert-butylbenzene)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
SOB 5414,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
BROWN CLA 1262,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
AZURANT DE DISTYRYL-BIPHENYL 4496,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
calcium octadecylxylenesulphonate,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
FARBASTOFF 393,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
(R)-2-acetamido-3-naphthyl-2-yl-propionic acid,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CIN 10019800,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
ESD SCN,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
A 11,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"2-ethyl-2-(hydroxymethyl)propane-1,3-diol, propoxylated, reaction product with methyl 3-oxobutanoate",Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,low,NA,NA,FALSE
ISOSTEARATE D'OXYDE DE CERIUM ET DE FER,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"4-[bis(2-tert-butyl-4-hydroxy-6-methylphenyl)methyl]phenyl 6-diazo-5-oxo-5,6-dihydronaphthalene-1-sulfonate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction products of Dihydro-3-(tetrapropenyl)furan-2,5 dione with propane-1,2,diol",Unclassified,TRUE,TRUE,Carboxylic acid derivatives,subclass,subset,medium,NA,NA,FALSE
"C12-14-tert-alkylamine, methylphosphonic acid salt",CAS without structure,TRUE,TRUE,Organic salts,superclass,subset,medium,NA,NA,FALSE
"3-Pyridinemethanesulfonic acid, 5,5′-[(1-methyl-1,2-ethanediyl)bis[imino(6-chloro-1,3,5-triazine-4,2-diyl)imino-4,1-phenylenecarbonylimino(6-sulfo-3,1-phenylene)azo]]bis[1-ethyl-1,2-dihydro-6-hydroxy-4-methyl-2-oxo-, tetrasodium salt",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Sodium and potassium 4-(3-aminopropylamino)-2,6-bis[3-(4-methoxy-2-sulfophenylazo)-4-hydroxy-2-sulfo-7-naphthylamino]-1,3,5-triazine",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
polycarboxylic acid salt type surfactant,CAS without structure,TRUE,TRUE,Carboxylic acid salts,direct_parent,subset,medium,NA,NA,FALSE
"glycine, salts",Unclassified,TRUE,TRUE,Glycine and derivatives,NA,subset,medium,NA,NA,FALSE
sodium 2-[4-(cyclopropylcarbonyl)phenyl]-2-methylpropanoate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Renewable hydrocarbons (naphtha type fraction) obtained from the catalytic transformation of ethanol. Predominantly rich in aromatic and saturated hydrocarbons with a carbon number range from C5 to C10.,Mixture,TRUE,TRUE,Hydrocarbons,superclass,subset,medium,NA,NA,FALSE
AGK 4172,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(Z,Z)-Octadien-1-yl acetate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C16-18 and C18-unsatd., Bu esters",CAS without structure,TRUE,TRUE,Fatty acid esters,subclass,subset,high,NA,NA,FALSE
copolymers of alpha-methylstyrene with vinyltoluene,Unclassified,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
Cobalt zinc aluminate blue spinel,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Zirconia Aluminosilicate Refractory Ceramic Fibres,Substance group,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Reaction products resulting from esterification of sucrose with saturated C16-18 (even numbered) fatty acids,Unclassified,TRUE,TRUE,Carboxylic acid esters,direct_parent,subset,medium,NA,NA,FALSE
Nickel Carbonate Tetra(dihydroxide),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
(R)-3-cyclopentyl-3-hydrazinylpropanenitrile L-tartaric acid salt,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Balsams, copaiba, sulfurized, mixed with turpentine, gold salts",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Grapefruit, ext.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3,4-dichloro-N-[5-chloro-4-[2-[4-(hexadecyloxy)phenylsulfonyl]butyramido]-2-hydroxyphenyl]benzamide",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Magnesium hydroxide sulphate trihydrate,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"(3E)-3-methyl-5-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]pent-3-en-2-one",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1-(2,4-Dihydroxy-5-(1-phenylmethanoyl)phenyl)-1-phenylmethan one",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Condensation products of 4-methyl-m-phenylene diisocyanate with alcohols, C10-14 (even numbered)",CAS without structure,TRUE,TRUE,Polyureas,superclass,subset,low,NA,NA,FALSE
"5-ethylidene-8,9,10-trinorborn-2-ene, manufacture of, by-products from",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"tert-butyl (5S,6R,7R)-3-bromomethyl-5,8-dioxo-7-(2-phenylacetamido)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Resinoid of Canarium luzonicum (Burseraceae) obtained from the exudate by cyclohexane extraction,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
AF-188,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Tert-butyl(1S,3S,5S)-3-carbamoyl-2-azabicyclo[3.1.0]hexane-2-carboxylate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Pyrolysis light oil from waste plastics,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Reaction products of propane-1,2-diamine with 2-[(2-methylphenoxy)methyl]oxirane",CAS without structure,TRUE,TRUE,"Amino acids, peptides, and analogues",subclass,broader,low,NA,NA,FALSE
gum arabic,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"3,3'-(C16-18-(evennumbered), C18-unsaturated-alkylimino)dipropanenitrile",CAS without structure,TRUE,TRUE,Nitriles,direct_parent,subset,medium,NA,NA,FALSE
organopolysiloxanes with propylene oxide groups,Unclassified,TRUE,TRUE,Organosilicon compounds,subclass,subset,medium,NA,NA,FALSE
"Alkenes, C13-14, hydroformylation products, distn. residues",CAS without structure,TRUE,TRUE,Fatty aldehydes,subclass,subset,low,NA,NA,FALSE
SILOXANE S200,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Plant oils / Citronella oil,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Oxirane, reaction products with ammonia, distn. residues",CAS without structure,TRUE,TRUE,Epoxides,class,subset,low,NA,NA,FALSE
"Alcohols, C11-15-secondary, ethoxylated",CAS without structure,TRUE,TRUE,Fatty alcohols,subclass,subset,medium,NA,NA,FALSE
"1,6:3,4-dianhydro-2-O-tosyl-β-D-galactopyranose",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Oligomerisation products of hexamethylene diisocyanate with aliphatic alcohol(s), allophanate type",Unclassified,TRUE,TRUE,Polycarbamates,class,subset,medium,NA,NA,FALSE
CGCI 1930,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Coal Tar Solids Residue|Waste solids, coal-tar pitch coking|[The combination of wastes formed by the coking of bituminous coal tar pitch. It consists predominantly of carbon.]",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Distillation product of triethyl citrate and labdanum gum obtained from exudate of Cistus ladaniferus (Cistaceae),Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
GIALLO PERGASCRIPT RZ 3386,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Decanol, branched and linear",CAS without structure,TRUE,TRUE,Long-chain fatty alcohols,direct_parent,subset,medium,NA,NA,FALSE
"Reaction products of: copper(II) sulfate and tetrasodium 2,4-bis[6-(2-methoxy-5-sulfonatophenylazo)-5-hydroxy-7-sulfonato-2-naphthylamino]-6-(2-hydroxyethylamino)-1,3,5-triazine (2:1)",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1,5-bis(3,4-dimethoxyphenyl)-penta-1,4-dien-3-one",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CIN 10067729,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Fatty acids, C16-18 and C18-unsatd., tetraesters with pentaerythritol",CAS without structure,TRUE,TRUE,Wax esters,direct_parent,subset,low,NA,NA,FALSE
"Imidazolium compounds, 2-C7-18-alkyl-1-(2-carboxyethyl)-4,5-dihydro-3-(hydroxyethyl), hydroxides, sodium salts",CAS without structure,TRUE,TRUE,Imidazoles,class,subset,medium,NA,NA,FALSE
"Poly(oxy-1,2-ethanediyl), α-(carboxymethyl)-ω-hydroxy-, C16-18 (even numbered) and C18-unsatd. alkyl ethers",Unclassified,TRUE,TRUE,Polyethylene glycols,direct_parent,subset,medium,NA,NA,FALSE
"trisodium 2-(cyanoamino)-5-[(E)-2-[4-({4-[(E)-2-(6,8-disulfonaphthalen-2-yl)diazen-1-yl]-2-methoxyphenyl}carbamoyl)phenyl]diazen-1-yl]-6-hydroxypyrimidin-4-olate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
5-(3-chlorophenyl)-2-(2-methoxy-2-oxoethylcarbamoyl)pyrid-3-yl pivalate,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Sucrose, glycerol and propane-1,2-diol, reaction products with C16-18(even numbered) fatty acids",Unclassified,TRUE,TRUE,Glycerolipids,class,broader,low,NA,NA,FALSE
V159456,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Yellow UZ 3217-A,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Oils, animal, sulfonated, sodium salts",CAS without structure,TRUE,TRUE,Organic sulfonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
HEC 6,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
PHOTOSOL 7-232,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Pyridine, 2-(phenylethynyl)-sulphate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
SC905,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CIN 10097022,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Diaminotoluene,CAS without structure,TRUE,TRUE,Diaminotoluenes,subclass,exact,high,Diaminotoluenes,0.9049868489880336,TRUE
LP 101,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"zinc oxide, nanoparticles, uncoated",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"9-Octadecenoic acid, 12-hydroxy-, 1,1'-(dimethylstannylene) ester, (9Z,9'Z,12R,12'R)-",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Resinoid of Canarium luzonicum (Burseraceae) obtained from the exudate by benzyl benzoate extraction,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Cobalt magnesium tin spinel,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"acetic acid ethenyl ester, polymer with ethenol",CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
"Fatty acids, C9-13-neo-, calcium salts",CAS without structure,TRUE,TRUE,Alkaline earth metal salts,class,subset,medium,NA,NA,FALSE
"phenol, 4-dodecyl-, branched",CAS without structure,TRUE,TRUE,Phenols,class,subset,medium,NA,NA,FALSE
"2,3-Difluorpropoxybenzol",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
HP-19-1751,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
L 131,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
ID-11,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
HD6662,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
FT-5.FCL,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, aluminum and copper-doped",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
(Z)-9-Octadecen-1-ol ethoxylated,CAS without structure,TRUE,TRUE,Fatty alcohols,subclass,subset,medium,NA,NA,FALSE
Cadmium selenide (Cd0.98Se),CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Spiro[bicyclo[3.1.0]hexane-2,2′-[1,3]dithiolan]-3-one, oxime, (1R,5R)- (ACI)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Oxirane, methyl-, polymer with oxirane, mono[2-hydroxy-3-[( γ-ω-perfluoro-C8-20-alkyl)thio]propyl] ethers",CAS without structure,TRUE,TRUE,Organic Polymers,superclass,subset,medium,NA,NA,FALSE
Plant oils / Lemongrass oil,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CHESTER 304,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
PHOTOSOL 7-120,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
PHENYLENEDIAMINE DYE,Unclassified,TRUE,TRUE,Phenylenediamines,subclass,subset,high,NA,NA,FALSE
"Fatty acids, tall-oil, reaction products with triethanolamine",CAS without structure,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,medium,NA,NA,FALSE
"Heavy Fuel oil|Fuel oil, residues-straight-run gas oils, high-sulfur",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4-nonylphenol, branched",CAS without structure,TRUE,TRUE,Phenols,class,subset,medium,NA,NA,FALSE
"poly(oxy-1,2-ethanediyl), .alpha.-(4-hydroxybutyl)-.omega.-hydroxy",CAS without structure,TRUE,TRUE,Polyethylene glycols,direct_parent,subset,high,NA,NA,FALSE
SX9509,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
POLYMER SOF03,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
LS-157,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Resin acids and Rosin acids, cobalt salts",CAS without structure,TRUE,TRUE,Organic metal salts,class,subset,medium,NA,NA,FALSE
"Fatty acids, C18 unsatd., reaction products with triethanolamine",Unclassified,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,medium,NA,NA,FALSE
Reaction products of boric acid and lithium hydroxide,Unclassified,TRUE,TRUE,Alkali metal borates,subclass,subset,high,NA,NA,FALSE
UC-130,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Repellents by smell of animal or plant origin/ tall oil crude,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Matte, copper-lead, tellurium-contg.",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Rape oil, reaction products with diethylenetriamine",CAS without structure,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"N-C16-18-alkyl-(evennumbered) C18 unsaturated) propane-1,3-diamine",CAS without structure,TRUE,TRUE,Primary amines,direct_parent,subset,low,NA,NA,FALSE
Mustard seeds powder,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
CGZP-2-OT,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
Artemisia vulgaris L.,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Copper, bis(8-quinolinolato-N1,O8)-, reaction products with C8-10-branched fatty acids, tert-decanoic acid, nickel(2+) diacetate, nickel(2+) carbonate (1:1) and nickel hydroxide (Ni(OH)2)",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
condensation product of cinnamic aldehyde and hexamethylenediamine,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Diundecyl phthalate, branched and linear",CAS without structure,TRUE,TRUE,Phthalate esters,direct_parent,subset,high,NA,NA,FALSE
sodium monoalkyl dialkylphenoxybenzenedisulfonate,Unclassified,TRUE,TRUE,Organic sulfonic acids and derivatives,superclass,subset,medium,NA,NA,FALSE
FG-7,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
