substance_name,substance_uri,predicate,equivalent_node,chemont_uri,relationship_type,equivalent_level,confidence,entity_type
"Diundecyl phthalate, branched and linear",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/120a56afdf8987de9f29fff8feb009b1,skos:broadMatch,Phthalate esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004009,subset,direct_parent,high,CAS without structure
"Alkanes, C<sub>12-26</sub>-branched and linear",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/7e4dc524d4486db7c746f191d5bce113,skos:broadMatch,Alkanes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002500,subset,subclass,high,CAS without structure
"Hydrocarbons, C4, 1,3-butadiene- and isobutene-free",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/167a93612f820f9f7e6d9c266898cc56,skos:broadMatch,Hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002837,subset,superclass,high,CAS without structure
"Fatty acids, C16-18, esters with diethylene glycol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/41187156858d67c8fe28cdbde22b54cd,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Fatty acids, C14-18 and C16-18-unsatd., esters with neopentyl glycol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0f6454616516aa1773b7df56a1bbfa24,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[2-[(4-chloro-6-methoxy-1,3,5-triazin-2-yl)amino]ethyl]amino]sulfonyl sulfo derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f8bd019a10ddab8a2740bd41a84dbff3,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
chlorotoluene,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2ee42ef92661fe102d384fc5281719c6,skos:broadMatch,Halotoluenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004528,subset,subclass,high,CAS without structure
"Fatty acids, C16-18, Bu esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4450bb19a841c58615f9efa4ebb01d57,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Amides, coco, N-[3-(dimethylamino)propyl]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3e025a69689b410d7e5c51907abd3556,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,CAS without structure
Xylene,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d794d09ea37b5100e93b8474ec667b91,skos:exactMatch,Xylenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004208,exact,subclass,high,CAS without structure
"Amides, C8-18 (even numbered) and C18-unsatd., N-(hydroxyethyl)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8fbbf23db552229f6d8152235f059802,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Benzenesulfonic acid, mono- and dialkylation products with C16-20 (even numbered, branched and linear) olefins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0a5f4a33ec187b0b2b990231062b7214,skos:broadMatch,Benzenesulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000032,subset,subclass,high,Unclassified
"Amides, C10-12 (even numbered) and C18 (unsaturated) alkyl, N, N-bis(hydroxyethyl)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/be4cfc570536607cc7382d4c6f1a5265,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Naphthalenesulfonic acids, branched and linear Bu derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/96fc32afea6ebfc12c756c4e31d39b3d,skos:broadMatch,Naphthalene sulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003597,subset,subclass,high,CAS without structure
salts of hyoscyamine,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d996b837c86ee1db98222cf926f42eed,skos:broadMatch,Tropane alkaloids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000492,subset,class,high,Unclassified
Straight Chain Lepidopteran Pheromones (SCLPs) - Aldehydes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fa3b86f994accc57836169216d9245fe,skos:broadMatch,Fatty aldehydes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000298,subset,subclass,high,Unclassified
"Sulfuric acid, mono-C16-18-alkyl esters, sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/34d21932c6529152e92b6230b679d7a4,skos:broadMatch,Sulfuric acid monoesters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001185,subset,subclass,high,CAS without structure
"Benzenesulfonic acid, mono-C11-13-branched alkyl derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8085975643edd67560802039fc00a8db,skos:broadMatch,Benzenesulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000032,subset,subclass,high,CAS without structure
"glycerol, esters with myristic acid",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/89c539987d6fa6c4e65f4bf9daeece38,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,Unclassified
"Alkenes, C6-8",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ec4c13f5fd98d26814b9ccecfd5dd588,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,Unclassified
"Amides, C8-18 (even numbered) and C18-unsatd., N,N-bis(hydroxyethyl)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d2e9dba29e75b1bce31a4572ba061c0f,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Sulfuric acid, C10-12 (even numbered)-alkyl esters, sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bcebe52236d4ed024d66d2967be43595,skos:broadMatch,Sulfuric acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003455,subset,subclass,high,Unclassified
"Amines, (C16-18 and C18-unsatd. alkyl)dimethyl",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/91bf8dffcdd08e5a526cd6bbf616c4e1,skos:broadMatch,Tertiary amines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002452,subset,direct_parent,high,CAS without structure
"Methyl ester of fatty acids, Cx-Cy, Hydroxymethylated",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/ba9cf006876d7246dcdd9047819c0381,skos:broadMatch,Fatty acid methyl esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003417,subset,subclass,high,Unclassified
"Alkenes, C20-24 α-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/bdd13d6c0586de73c53ee396d4d37060,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,direct_parent,high,CAS without structure
"Fatty acids, coco, hydrogenated",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/daaffe2a7d8b1912a7a241a5d935f291,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Plumbane, ethyl methyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/5e9eb8df3beffba8c908f17eba2019cc,skos:broadMatch,Organolead compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004024,subset,subclass,high,CAS without structure
"Fatty acids, C14-18 and C18-unsatd., branched and linear, Me esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/28d6bda6654aa1d9f4e375a6f82d5a5c,skos:broadMatch,Fatty acid methyl esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003417,subset,subclass,high,CAS without structure
hempseed oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/72ffd1be2f2f4ebeac89f8add0abadd4,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
Perfluoroheptanoic acid and its salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/8d4922fdec440c0031144fac48f77384,skos:broadMatch,Perfluoroalkyl carboxylic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003962,subset,direct_parent,high,Substance group
"Low chlorinated copper, [29H,31Hphthalocyaninato(2-)-N29,N30,N31,N32]-, wherein the number of chlorines ismore than or equal to 0 and less than or equal to 5",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a261157927488d90ef03b5df05687003,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,Unclassified
"1,2-Benzenedicarboxylic acid, di-C6-10-alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/76d253e91e806991d169631533341056,skos:broadMatch,Phthalate esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004009,subset,direct_parent,high,CAS without structure
"Hydrocarbons, C6, isoalkanes, <5% n-hexane",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c80ea9a5895a73b4585368409d04a6af,skos:broadMatch,Branched alkanes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004620,subset,subclass,high,Unclassified
"Benzoic acid, 4-hydroxy- ester with alcohols C18-22-alkyl (even numbered)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1d196d7313732255222927eccf31f112,skos:broadMatch,p-Hydroxybenzoic acid alkyl esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004702,subset,direct_parent,high,CAS without structure
"Naphthalene, chloro derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3e0b277883c9eebd77df7bbcd655d6f3,skos:exactMatch,Chloronaphthalenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004794,exact,subclass,high,CAS without structure
"acetic acid ethenyl ester, polymer with chloroethene and ethene",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/11ef8068b113fe4656cf6af2b2920980,skos:broadMatch,Organic Polymers,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003297,subset,superclass,high,CAS without structure
"Alkenes, C10-14-branched and linear, C12-rich",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/5c7d0f052c8869434b5afc0392e2954b,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,CAS without structure
"Glycerides, C16-18 mono-, di- and tri-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0b490ac6b06450338dff5b8961eff18c,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,CAS without structure
"Fatty acids, vegetable-oil, esters with neopentyl glycol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/02a1d740526d4bcb3cd0793a424b1d95,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
Polycyclic-aromatic hydrocarbons (PAH),https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/268fa3e347620742662adea7c0835f33,skos:broadMatch,Polycyclic hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004149,subset,class,high,Substance group
"salts of thiocyanic acid, with the exception of those specified elsewhere in this Annex",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1da7885bc10f12891fcc23e66ecf283d,skos:broadMatch,Thiocyanates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001201,subset,class,high,Unclassified
Reactionmass of octan-2-yl prop-2-enoate and octan-3-yl prop-2-enoate and octan-4-yl prop-2-enoate,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6975ba7f3f90244be50d965a0056b068,skos:broadMatch,Acrylic acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004452,subset,subclass,high,Unclassified
"Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3ca7d873baa12a3d56d26ff0f9c047ea,skos:broadMatch,Perfluoroalkyl sulfonic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003961,subset,direct_parent,high,Substance group
Polychlorinated naphthalenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/20ca14359205209490188faa7ac1743b,skos:broadMatch,Chloronaphthalenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004794,subset,subclass,high,Unclassified
"Amides, C16-18 (even numbered), N-C16-18 (even numbered) alkyl",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/04149c4733f768552b00cc7f0fc83ac6,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,Unclassified
"Hydrocarbons, C3",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/7d16efd69355b0fdea634ceece63a70a,skos:broadMatch,Hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002837,subset,superclass,high,CAS without structure
"Fatty acids, C16-18 and C18-unsatd., Me esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/270a6a8c24bba96a34f7df652dcde9c5,skos:broadMatch,Fatty acid methyl esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003417,subset,subclass,high,CAS without structure
aluminium alkyls,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9517fa94d16ae3c0bd7b51be58f34a94,skos:exactMatch,Alkylaluminium and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004568,exact,direct_parent,high,Unclassified
"Amides, C12-18(even-numbered) and C18(unsatd.), N,N-bis(hydroxyethyl)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/811676af4f634ddc8d2d19749dd660a0,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,CAS without structure
Hexabromodiphenyl ether (group),https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/9580af763f7b83f658da4edf6e73d48a,skos:broadMatch,Bromodiphenyl ethers,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001845,subset,subclass,high,Substance group
AMINO SUCCINIC ACID DERIVATIVE,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c237dda5074733106db4b0c9f2a3ca8a,skos:exactMatch,Aspartic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004317,exact,direct_parent,high,Unclassified
"Fatty acids, C8-18 and C18-unsatd., barium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/575f9b0d13a65d003c7fcc97f4c31cca,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
"Fatty acids, C16-18 and C18-unsatd., esters with sorbitol",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f4456a21af73ca3fa9a7ca8e676dd807,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Amides, tall-oil fatty, N-[3-(dimethylamino)propyl]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2f68c1ec4ad75ead6acf0fbb8ea1be7b,skos:broadMatch,Fatty amides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000331,subset,subclass,high,CAS without structure
"Alkenes, C>8",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dee1020f37e2c756601586ebea7cbf1b,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,CAS without structure
"Glycerides, C16-18 and C18-unsatd. mono-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/aa987587105afa1bbe06446c1e1684f4,skos:broadMatch,Monoacylglycerols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001133,subset,subclass,high,CAS without structure
"C16-(branched), C20-(branched) and C24-(branched)-alkanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d7a70479a2b81ce8e825a9f255fa5765,skos:broadMatch,Branched alkanes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004620,subset,subclass,high,Unclassified
"Fatty acids, C12-18 (even-numbered), 3-methylbutyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/1cc8e9738951a02fa1bb2ee9e5e3683a,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,Unclassified
PHTALIDE,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3cbfe57ddfe982535d97ff74228b5f8f,skos:exactMatch,Phthalides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001873,exact,subclass,high,Unclassified
"Benzoic acid, C12-15-alkyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4f071f7c8c601e5e53c7697be3d89455,skos:broadMatch,Benzoic acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001350,subset,direct_parent,high,CAS without structure
Lead sulphates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b21b7f193eaf2590e7561e9e65059cda,skos:exactMatch,Post-transition metal sulfates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000739,exact,subclass,high,Unclassified
inorganic compounds of mercury with the exception of mercuric sulphide and those specified elsewhere in this Annex,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/09c16bcca57b5bbbc8c3ba96c3e8afca,skos:broadMatch,Inorganic mercury compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004060,subset,class,high,Unclassified
"Crude Phenols|Tar acids, brown-coal gasification|[A complex combination of organic compounds obtained from brown coal gasification. Composed primarily of C<sub>6-10</sub> hydroxy aromatic phenols and their homologs.]",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/99b97b3cefc44aea81cdbebb7e3e3bce,skos:broadMatch,Phenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000134,subset,class,high,Mixture
Bisquaternary ammonium compound,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/619e5dc33ad1abd72730d5eb8f956f89,skos:broadMatch,Quaternary ammonium salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000503,subset,subclass,high,Substance group
"Fatty acids, C8-10 (even numbered), 2-ethylhexyl esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/258339c726e4e6c7e9824b28961b6536,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Fatty acids, safflower-oil, Et esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/24f49be493c1b7c5753ceedcd3feb241,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[3-(cyclohexylamino)propyl]amino]sulfonyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/50f81119645425527a8482c464d7dc4d,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
"Benzenesulfonic acid, 4-C7-13-sec-alkyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b46d23553c05a01056124a47cc9061f3,skos:broadMatch,Benzenesulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000032,subset,subclass,high,Unclassified
"Hydrocarbons, C7, n-alkanes, isoalkanes, cyclics",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/5556c1f2bfead4f3fdee2e3f407fdb1d,skos:broadMatch,Saturated hydrocarbons,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004474,subset,class,high,Unclassified
Perfluorobutane sulfonic acid (PFBS) and its salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/eaa6fcc5faaca8f2ee96d3de0546b40b,skos:broadMatch,Perfluoroalkyl sulfonic acid and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003961,subset,direct_parent,high,Substance group
"Quaternary ammonium compounds, N,N,N'-tris(hydroxyethyl)-N,N'-dimethyl-N'-C16-18 (even numbered) and C18 unsatd., alkyltrimethylenedi-, bis(Me sulfates) (salts)",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fcd8ecbaf2a453ba721d0fb7014be409,skos:broadMatch,Quaternary ammonium salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000503,subset,subclass,high,Unclassified
Bisphenols with endocrine disrupting properties for the environment and their salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3f86da8a7243bd055f36ce428c406773,skos:broadMatch,Bisphenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000143,subset,subclass,high,Unclassified
Alkylnaphthalene,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4b010ca6ce86b2bddf0cd69dabd8e557,skos:broadMatch,Naphthalenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000023,subset,class,high,Unclassified
"Fatty acids, soya, iso-Pr esters",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/a1fe59c6ac5a2bc6e0cb79cffe3c3913,skos:broadMatch,Fatty acid esters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000324,subset,subclass,high,CAS without structure
"trimethyltin compounds, with the exception of those specified elsewhere in this Annex",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/3469a94f3c999497bc8e5b9b9246e0ce,skos:broadMatch,Triorganotin compounds,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004066,subset,direct_parent,high,Unclassified
"(butyl acrylate, methyl methacrylate, butyl methacrylate) copolymer",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2da997009c0f27a2107187ba2c9f589e,skos:broadMatch,Organic Polymers,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003297,subset,superclass,high,CAS without structure
"glycerol, esters with ricinoleic acid",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/2abeeee0ce1421e8ea5099c6ce5202e6,skos:broadMatch,Glycerolipids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000175,subset,class,high,Unclassified
"Blend of 1-octadecenol, 1-octadecadienols, different isomers",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/98683bd644548189619214679d4864d1,skos:broadMatch,Fatty alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001334,subset,subclass,high,CAS without structure
"1H-Imidazole-1-ethanol, 4,5-dihydro, 2-(C11-17 alkyl) derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/70fd52e645b5a4f6ed5c3776f86e5113,skos:broadMatch,Imidazolines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000079,subset,class,high,Unclassified
tannic acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f2874dc6ad498ffbc1ddf5cb7abc6ae0,skos:broadMatch,Tannins,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000238,subset,class,high,CAS without structure
"Pyridine, alkyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/e5e28652c57757e0fe726a86b813205a,skos:broadMatch,Pyridines and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000089,subset,class,high,CAS without structure
"Sulfuric acid, mono-C12-16-alkyl esters, sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/cf802363f960f3277cab35bdb76dd2a1,skos:broadMatch,Sulfuric acid monoesters,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001185,subset,subclass,high,CAS without structure
"Alkenes, C6-",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d61bbc4658fac6f01282a43790671a2e,skos:broadMatch,Alkenes,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002501,subset,subclass,high,CAS without structure
"Fatty acids, C16-22",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/d80a95d011b1fcd024ca6eb6c7bd8a1c,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,CAS without structure
Phenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/adf238bca511eba639b6c3da6280e6f2,skos:exactMatch,Phenols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000134,exact,class,high,Unclassified
"Benzenesulfonic acid, 4-C20-24 (even numbered) sec-alkyl derivs., sodium salts",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/fa31b0579cc8ee5607ccf1cc6a6e2d10,skos:broadMatch,Benzenesulfonic acids and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000032,subset,subclass,high,Unclassified
4-Aminobiphenyl xenylamine and its salts,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f24b5b9533e64068a33beff9da4a1fef,skos:broadMatch,Biphenyls and derivatives,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000041,subset,subclass,high,Substance group
"Nickel, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[3-[(1,3-dioxobutyl)amino]phenyl]amino]sulfonyl derivs.",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/6055b981258f0dae0992d11d332ba6ab,skos:broadMatch,Phthalocyanines,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004188,subset,subclass,high,CAS without structure
poppy-seed oil fatty acids,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/f0e6ce05c27a40423496b89aa636c430,skos:broadMatch,Fatty acids and conjugates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000262,subset,subclass,high,Unclassified
Amino acids: mix,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/028992fe31ad4e56a5d001d83921758d,skos:broadMatch,"Amino acids, peptides, and analogues",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000013,subset,subclass,high,Unclassified
"Alcohols, C14-15",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/dc3e5cd63d78da3b62eeda69397f1e68,skos:broadMatch,Long-chain fatty alcohols,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002951,subset,direct_parent,high,CAS without structure
"metal salts of thiocyanic acid, with the exception of those specified elsewhere in this Annex",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/c84552ee221ec2b5c442d9acf97d5e41,skos:exactMatch,Metal thiocyanates,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004611,exact,subclass,high,Unclassified
2-[(C14-15alkyloxy)methyl]oxirane,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/4e1276402b00ec948ff4970976492671,skos:broadMatch,Epoxides,https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000159,subset,class,high,Unclassified
